Kenya,Kenyan Shilling,KES,404
Kiribati,Australian Dollar,AUD,36
Korea (North Korea),North Korean Won,KPW,408
Korea (South Korea),Won,KRW,410
Kuwait,Kuwaiti Dinar,KWD,414
Kyrgyzstan,Som,KGS,417
Lao,Kip,LAK,418
Latvia,Euro,EUR,978
Lebanon,Lebanese Pound,LBP,422
Lesotho,Loti,LSL,426
Liberia,Liberian Dollar,LRD,430
Libya,Lybian Dinar,LYD,434
Liechtenstein,Swiss Franc,CHF,756
Lithuania,Euro,LTL,440
Luxembourg,Euro,EUR,978
Macau,Macanese Pataca,MOP,446
"Macedonia, Rep. of",Macedonian Denar,MKD,807
Madagascar,Malagasy Franc,MGF,450
Malawi,Kwacha,MWK,454
Malaysia,Malaysian Ringgit,MYR,458
Maldives,Rufiyaa,MVR,462
Mali,CFA Franc BCEAO,XOF,952
Malta,Maltese Lira,MTL,470
Marshall Islands,US Dollar,USD,840
Martinique,Euro,EUR,978
Mauritania,Ouguiya,MRO,478
Mauritius,Mauritius Rupee,MUR,480
Mayotte,Euro,EUR,978
Mexico,Mexican Peso,MXN,484
"Micronesia, Federal States of",US Dollar,USD,840
"Moldova, Republic of",Moldovan Leu,MDL,498
Monaco,Euro,EUR,978
Mongolia,Tugrik (Tugrug),MNT,496
Montenegro,Euro,EUR,978
Montserrat,East Caribbean Dollar,XCD,951
Morocco,Moroccan Dirham,MAD,504
Mozambique,Metical,MZM,508
Myanmar,Kyat,MMK,104
Namibia,Rand,ZAR,710
Namibia,Namibia Dollar,NAD,516
Nauru,Australian Dollar,AUD,36
Nepal,Nepalese Rupee,NPR,524
Netherlands,Euro,EUR,978
Netherlands Antilles,Netherlands Antillan Guilder,ANG,532
New Caledonia,CFP Franc,XPF,953
New Zealand,New Zealand Dollar,NZD,554
Nicaragua,Cordoba Oro,NIO,558
Niger,CFA Franc BCEAO,XOF,952
Nigeria,Naira,NGN,566
Niue,New Zealand Dollar,NZD,554
Northern Mariana Islands,US Dollar,USD,840
Norway,Norwegian Krone,NOK,578
Oman,Rial Omani,OMR,512
Pakistan,Pakistan Rupee,PKR,586
Palau,US Dollar,USD,840
State of Palestine,Egyptian Pound,EGP,
State of Palestine,Israeli New Shekel,ILS,
State of Palestine,Jordanian Dinar,JOD,
Panama,Balboa,PAB,590
Panama,US Dollar,USD,840
Papua New Guinea,Kina,PGK,598
Paraguay,Guarani,PYG,600
Peru,Nuevo Sol,PEN,604
Philippines,Philippine Peso,PHP,608
Pitcairn Island,New Zealand Dollar,NZD,554
Poland,Zloty,PLN,985
Portugal,Euro,EUR,978
Puerto Rico,US Dollar,USD,840
Qatar,Qatari Rial,QAR,634
Reunion Island,Euro,EUR,978
Romania,Leu,ROL,642
Russian Federation,Russian Ruble,RUR,810
Russian Federation,Russian Ruble,RUB,643
Rwanda,Rwanda Franc,RWF,646
Saint Helena,Saint Helena Pound,SHP,654
Saint Kitts and Nevis,East Caribbean Dollar,XCD,951
Saint Lucia,East Caribbean Dollar,XCD,951
Saint Vincent and the Grenadines,East Caribbean Dollar,XCD,951
Samoa,Tala,WST,882
San Marino,Euro,EUR,978
Sao Tome and Principe,Dobra,STD,678
Saudi Arabia,Saudi Riyal,SAR,682
Senegal,CFA Franc BCEAO,XOF,952
Serbia,Serbian Dinar,CSD,891
Seychelles,Seychelles Rupee,SCR,690
Sierra Leone,Leone,SLL,694
Singapore,Singapore Dollar,SGD,702
Slovakia (Slovak Republic),Euro,EUR,978
Slovenia,Euro,EUR,978
Solomon Islands,Solomon Islands Dollar,SBD,90
Somalia,Somali Shilling,SOS,706
South Africa,Rand,ZAR,710
South Sudan,South Sudanese pound,SSP,728
Spain,Euro,EUR,978
Sri Lanka,Sri Lanka Rupee,LKR,144
Sudan,Sudanese Pound,SDG,938
Suriname,Suriname Guilder,SRG,740
Swaziland,Lilangeni,SZL,748
Sweden,Swedish Krona,SEK,752
Switzerland,Swiss Franc,CHF,756
Syrian Arab Republic,Syrian Pound,SYP,760
"Taiwan, Republic of China",New Taiwan Dollar,TWD,901
Tajikistan,Somoni,TJS,972
Tanzania,Tanzanian Shilling,TZS,834
Thailand,Thai Baht,THB,764
Timor Leste,US Dollar,USD,840
Togo,CFA Franc BCEAO,XOF,952
Tokelau,New Zealand Dollar,NZD,554
Tonga,Pa?anga,TOP,776
Trinidad and Tobago,Trinidad and Tobago Dollar,TTD,780
Tunisia,Tunisian Dinar,TND,788
Turkey,Yeni TÅrk Liras (YTL),TRY,949
Turkmenistan,Manat,TMM,795
Turks and Caicos Islands,US Dollar,USD,840
Tuvalu,Australian Dollar,AUD,36
Uganda,Uganda Shilling,UGX,800
Ukraine,Hryvnia,UAH,980
United Arab Emirates,UAE Dirham,AED,784
United Kingdom,Pound Sterling,GBP,826
United States,US Dollar(Same day),USS,998
Uruguay,Peso Uruguayo,UYU,858
Uzbekistan,Uzbekistan Sum,UZS,860
Vanuatu,Vatu,VUV,548
Vatican City State (Holy See),Euro,EUR,978
Venezuela,Venezuelan Bol°var,VEF,937
Vietnam,Vietnamese Dong,VND,704
Virgin Islands (British),US Dollar,USD,840
Virgin Islands (U.S.),US Dollar,USD,840
Wallis and Futuna Islands,CFP Franc,XPF,953
Western Sahara,Moroccan Dirham,MAD,504
Yemen,Yemeni Rial,YER,886
Zambia,Kwacha,ZMK,894
Zimbabwe,Zimbabwe Dollar,ZWD,716
